"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"DW_20180105_014",-24.16,4.2441,-14.95,4.6832,-8.8503,9.2393,-19.823,21.771,16.359,6.5231e-15
"DW_20180105_038",-20.355,4.006,-18.85,-5.8618,-18.104,14.028,-5.844,-15.956,-21.621,1.0392e-14
"DW_20180105_062",18.605,17.618,7.1869,-21.485,28.001,19.162,-6.3064,1.4714,-2.0181,6.8129e-15
"DW_20180105_098",-17.814,21.753,-2.2554,-6.4666,-0.39008,-10.927,8.9047,-21.757,23.307,9.0212e-15
"DW_20180105_122",-11.793,33.586,-7.8574,17.607,11.042,-12.962,16.83,12.504,-13.855,6.7019e-15
"DW_20180105_020",-38.593,-48.762,9.1038,2.1756,16.17,0.65782,8.9094,-0.50621,-1.4694,2.8377e-15
"DW_20180105_044",46.002,-24.828,-37.534,0.58601,2.2512,-8.4451,4.2147,-0.46853,3.1912,-1.3822e-14
"DW_20180105_068",9.5291,-4.1157,20.925,-25.144,-21.855,-9.8161,13.115,14.061,-2.6409,3.1038e-14
"DW_20180105_104",11.82,-2.2118,21.177,8.3406,2.0181,-22.578,-29.235,-6.6458,-6.6724,-4.9655e-14
"DW_20180105_128",26.757,-1.2896,23.055,25.564,-10.283,21.641,9.2347,-4.4743,5.4193,-5.5511e-15
